run_id,run_kind,series_id,sensor,edz_band_cm,row_count,compared_rows,diagnostic_statuses,date_min,date_max,compared_date_min,compared_date_max,mean_abs_time_delta_days,model_taupe_standardized_pearson,delta_sign_agreement_fraction,standardized_residual_mean,standardized_residual_mae,standardized_residual_rmse,taupe_standardized_min,taupe_standardized_max,model_standardized_min,model_standardized_max,model_theta_min,model_theta_max,model_theta_baseline,model_theta_robust_scale
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A8_30-40cm,A8,30-40,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A8_40-50cm,A8,40-50,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A3_0-10cm,A3,0-10,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1398680688903816,0.4451612903225806,2.9214216547936567,2.9356997455581406,3.354874438134952,-6.005866924144911,1.2894643411186026,-0.6798766199385315,3.906477146732965,0.0562611656080709,0.0931995136992664,0.0617368703888168,0.0080539683527298
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A3_0-50cm,A3,0-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1825937681845313,0.8516129032258064,0.5833063424509781,1.230066000766845,1.706377736084755,-3.7850321816080488,1.4555481803622266,-2.7557167427170195,2.316508776322604,0.0756456431916369,0.0941510773639379,0.0856995602717105,0.0036483855267943
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A3_10-20cm,A3,10-20,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5504863009002221,0.9612903225806452,-0.921764006765006,1.210351702276009,1.340345509319236,-3.253046457706223,0.851858982208852,-4.135954660492484,0.2774360925318736,0.0774049804944557,0.0935741239546139,0.0925576936786181,0.0036636555349371
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A3_20-30cm,A3,20-30,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5522916445169633,1.0,-1.0510166247000388,1.2064165695686526,1.3638435644979372,-3.0538072782283905,0.4814115268844356,-3.83999922803752,0.219065029148349,0.0823963732611058,0.0975275878986994,0.0967109661933972,0.003727759325516
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A3_30-40cm,A3,30-40,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.1340185609260391,1.0,-0.3450044996887686,1.05663619554322,1.2510335906550825,-3.9480415592987774,1.8176301789584537,-3.486200151927403,0.1680400977113306,0.0866041265290344,0.1002321331967779,0.0996054498329009,0.0037293680044958
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A3_40-50cm,A3,40-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.7310412860005854,0.1354838709677419,-3.720471320481402,3.7489854343096254,4.190723199844336,-1.2422963201065131,4.88758569606041,-3.3951583168221005,0.1326565873335467,0.0906927938781297,0.1022854295646823,0.1018495111477133,0.0032860668718466
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A4_0-10cm,A4,0-10,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1421302156472221,0.4967741935483871,0.0366160986415541,1.0105140149191754,1.2620367310234144,-1.1257117979611122,1.880571499182726,-0.739882120995805,3.536128861345909,0.0577335345117442,0.0928937658067945,0.0638173417359806,0.0082226709520271
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A4_0-50cm,A4,0-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.0436644159965878,0.3483870967741935,-1.896782490486547,2.088674927072552,2.4163007936164664,-2.3252467102105383,2.6202317521555165,-2.94324358858824,2.194157220494631,0.0768041895809268,0.0943863471445632,0.0868770989072207,0.0034223838507113
