observation_id,source_sheet,campaign_year,normalized_segment_label,borehole_depth_m,primary_cell_id,centroid_x_m,centroid_y_m,centroid_z_m,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,objective_weight,configured_scalar_feasibility_status,residual_band,residual_sign,conflict_class,recommended_next_action
perm_0009,2024_OT,2024,BCD-A32,1.7,4298,-2.658774039759805,-0.8573278451565218,0.0,-19.69897000433602,-20.0,-0.3010299956639812,0.3010299956639812,0.5,observed_inside_configured_scalar_range,abs_lt_0p5_log10,underpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0024,2024_OT,2024,BCD-A33,3.3,3864,1.5409832815946867,-4.189004496574493,0.0,-20.096910013008056,-20.39794000867204,-0.3010299956639812,0.3010299956639812,0.5,observed_inside_configured_scalar_range,abs_lt_0p5_log10,underpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0159,2024,2024,BCD-A32,1.7,4298,-2.658774039759805,-0.8573278451565218,0.0,-19.69897000433602,-20.0,-0.3010299956639812,0.3010299956639812,0.5,observed_inside_configured_scalar_range,abs_lt_0p5_log10,underpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0174,2024,2024,BCD-A32,1.7,4298,-2.658774039759805,-0.8573278451565218,0.0,-20.30102999566398,-20.0,0.3010299956639812,0.3010299956639812,1.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0190,2024,2024,BCD-A33,3.3,3864,1.5409832815946867,-4.189004496574493,0.0,-20.096910013008056,-20.39794000867204,-0.3010299956639812,0.3010299956639812,0.5,observed_inside_configured_scalar_range,abs_lt_0p5_log10,underpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0191,2024,2024,BCD-A33,3.3,3864,1.5409832815946867,-4.189004496574493,0.0,-20.69897000433602,-20.39794000867204,0.3010299956639812,0.3010299956639812,1.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0041,2024_CT,2024,BCD-A35,0.31,5763,,,,-19.096910013008056,-18.898010227571955,0.1988997854361009,0.1988997854361009,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
perm_0042,2024_CT,2024,BCD-A35,0.45,5763,,,,-19.096910013008056,-18.898010227571955,0.1988997854361009,0.1988997854361009,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
perm_0044,2024_CT,2024,BCD-A35,0.73,5763,,,,-19.096910013008056,-18.898010227571955,0.1988997854361009,0.1988997854361009,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
perm_0047,2024_CT,2024,BCD-A35,1.15,5763,,,,-19.045757490560675,-18.898010227571955,0.1477472629887195,0.1477472629887195,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
