run_id,run_kind,label_group,row_count,fitted_bias_fraction,raw_weighted_bias_fraction,observed_theta_mean,predicted_theta_mean
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4M,8,0.05679207284477729,0.05679207284477729,0.11239079343580044,0.05513101095798694
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4N,5,0.038870820288685576,0.038870820288685576,0.09653728054241559,0.05547425599033105
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4P,5,0.03971152605185445,0.03971152605185445,0.09803444372219518,0.05556381554789451
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4Q,5,0.07180038383942423,0.07180038383942423,0.11816400130095821,0.05502930217468256
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4R,5,0.025324795083158696,0.025324795083158696,0.08542143230590786,0.06009663722274916
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4S,5,0.06241672054821722,0.06241672054821722,0.11308461433025534,0.053544453522215665
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR weekly | 4E,84,0.048172678789150825,0.048172678789150825,0.10652978672888767,0.05835710793973684
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR weekly | 4S,21,0.06811991192379888,0.06811991192379888,0.12003813664148744,0.05191822471768855
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4D,5,0.04155480488019904,0.04155480488019904,0.11717910081535166,0.07705595250834052
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4E,5,0.056381456482914864,0.056381456482914864,0.11164098656910655,0.0552595300861917
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4F,5,0.07576123052547858,0.07576123052547858,0.12895223067350797,0.05320886105197814
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4G,5,0.0723571964818278,0.0723571964818278,0.12556283647090566,0.05320563998907788
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4H,5,0.06726590377184398,0.06726590377184398,0.1223882986985233,0.055316983515066
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4I,5,0.07091807645153311,0.07091807645153311,0.1249263844989508,0.05428871781862939
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4J,8,0.023760475133920926,0.023760475133920926,0.07729376871719223,0.05353329358327131
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4K,8,0.05890860860491979,0.05890860860491979,0.11401047442260642,0.055904820264118076
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4L,8,0.03155442065749853,0.03155442065749853,0.08759295153312814,0.05493645917943985
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4M,8,0.056792075044139696,0.056792075044139696,0.11239079343580044,0.05513100873517768
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4N,5,0.03887082402158888,0.03887082402158888,0.09653728054241559,0.05547425216816652
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4P,5,0.039711532098148594,0.039711532098148594,0.09803444372219518,0.05556380924489338
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4Q,5,0.07180038971270096,0.07180038971270096,0.11816400130095821,0.055029295600861824
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4R,5,0.025324694762744786,0.025324694762744786,0.08542143230590786,0.06009673754316308
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR seasonal | 4S,5,0.062416593908984026,0.062416593908984026,0.11308461433025534,0.05354458535203958
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR weekly | 4E,84,0.04817246411653241,0.04817246411653241,0.10652978672888767,0.05835732261235525
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,NMR weekly | 4S,21,0.06811979011514843,0.06811979011514843,0.12003813664148744,0.05191834652633897
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4D,5,0.0415543898253621,0.0415543898253621,0.11717910081535166,0.07705637417664983
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4E,5,0.05638184554434418,0.05638184554434418,0.11164098656910655,0.055259141024762384
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4F,5,0.07576163121475632,0.07576163121475632,0.12895223067350797,0.05320845978838527
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4G,5,0.07235724573319516,0.07235724573319516,0.12556283647090566,0.053205590737710515
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4H,5,0.06726589792793235,0.06726589792793235,0.1223882986985233,0.05531698961530457
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4I,5,0.07091807257822938,0.07091807257822938,0.1249263844989508,0.054288721819708244
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4J,8,0.02376047296897231,0.02376047296897231,0.07729376871719223,0.053533295748219925
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4K,8,0.05890860586755846,0.05890860586755846,0.11401047442260642,0.05590482304459946
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4L,8,0.03155441789889166,0.03155441789889166,0.08759295153312814,0.054936462040015094
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,NMR seasonal | 4M,8,0.056792071185929556,0.056792071185929556,0.11239079343580044,0.05513101263450679
