run_id,run_kind,run_dir,ogs_output_count,support_cell_rows,diagnostic_rows,compared_rows,compared_output_times,outside_time_tolerance_output_times,mean_abs_time_delta_days,theta_inside_calibration_rows,ert_residual_mean_log10,ert_residual_mae_log10,ert_residual_rmse_log10,ert_residual_p50_abs_log10,ert_residual_p90_abs_log10,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,ert_mae_delta_from_reference,ert_mae_rank,combined_objective_rank
production_sampler_005_length_0p007m_shift_0p950,production_sampler,inversion_workflow/runs/production_sampler_005_length_0p007m_shift_0p950,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573785859396563,0.254267226277401,0.3000091587524813,0.2454617236950746,0.4381503444951169,3158.9988954862133,2,271.035882236753,2887.9630132494603,5.484792434967971,8.703050347880215e-05,36.0,37.0
production_sampler_006_length_0p008m_shift_0p948,production_sampler,inversion_workflow/runs/production_sampler_006_length_0p008m_shift_0p948,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573934486534139,0.2542769259256769,0.300018871104186,0.2454762509828971,0.4381516008079169,3159.1421943189075,2,271.15622163249884,2887.985972686409,5.484814237098958,9.673015175470923e-05,37.0,39.0
production_sampler_round2_001_basis_003_det_l_0p0015_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_001_basis_003_det_l_0p0015_s_0p750,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573034389441011,0.2541798412405426,0.2999655423119651,0.2453246653886918,0.4381919296637977,3156.361078643836,2,269.8191465658567,2886.541932077979,5.483442816863533,-3.54533379598454e-07,10.0,7.0
production_sampler_round2_002_basis_008_det_l_0p0025_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_002_basis_008_det_l_0p0025_s_0p750,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573034389441123,0.2541798412405501,0.2999655423119722,0.2453246653886918,0.4381919296638223,3156.3610786435147,2,269.8191465658567,2886.541932077658,5.483442816863229,-3.545333721044486e-07,11.0,5.0
production_sampler_round2_003_basis_013_det_l_0p0035_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_003_basis_013_det_l_0p0035_s_0p750,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573034389441243,0.2541798412405618,0.2999655423119811,0.2453246653886913,0.4381919296638217,3156.361078643816,2,269.8191465658567,2886.5419320779592,5.483442816863515,-3.5453336039159566e-07,12.0,6.0
production_sampler_round2_004_basis_018_det_l_0p0050_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_004_basis_018_det_l_0p0050_s_0p750,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573034389440773,0.2541798412405204,0.2999655423119485,0.2453246653886929,0.4381919296638019,3156.3610786433155,2,269.8191465658567,2886.541932077459,5.48344281686304,-3.545334018029145e-07,9.0,4.0
production_sampler_round2_005_basis_023_det_l_0p0075_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_005_basis_023_det_l_0p0075_s_0p750,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573031406826942,0.2541794064832144,0.2999653025043191,0.2453245592401043,0.438191684899138,3156.3547580979066,2,269.8191465658567,2886.53561153205,5.483436813422052,-7.892907077922118e-07,7.0,3.0
production_sampler_round2_006_length_0p026m_shift_1p107,production_sampler_round,inversion_workflow/runs/production_sampler_round2_006_length_0p026m_shift_1p107,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1572991316017181,0.254754928077737,0.3001772638823933,0.2460317586724771,0.4370422434340402,3171.354418682823,2,275.10755466664364,2896.24686401618,5.492653108183258,0.0005747323038147734,50.0,57.0
production_sampler_round3_001_length_0p028m,production_sampler_round,inversion_workflow/runs/production_sampler_round3_001_length_0p028m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1572750406465755,0.2547575850943452,0.3001447619514534,0.2459576192578256,0.4369911751239532,3167.358207564513,2,270.404201595415,2896.954005969098,5.4933236049630985,0.0005773893204230052,51.0,52.0
production_sampler_round3_002_length_0p028m_shift_1p050,production_sampler_round,inversion_workflow/runs/production_sampler_round3_002_length_0p028m_shift_1p050,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1571991129500656,0.2547140189867687,0.300099726520727,0.2459438199349286,0.4369332627097073,3167.879479569597,2,271.09126073611066,2896.7882188334866,5.493166416513838,0.000533823212846507,49.0,53.0
