cell_id,material_id,centroid_x,centroid_y,radial_distance_from_origin_m,within_approx_1p5m_center_support,current_log10_k_geom_m2,ert_ready_support_lookup_count,inside_ert_ready_support_cells,bcdma32_nearest_distance_m,bcdma32_distance_along_m,bcdma33_nearest_distance_m,bcdma33_distance_along_m
2708,1,0.20234824524985262,-1.1481358257043817,1.1658304707896328,True,-18.922228295150177,0,False,1.4888799683361067,0.0,0.1796473564102326,0.05332360426043158
2709,1,-0.8224198540536625,1.0442365780829133,1.3292119647926586,True,-19.35626258838193,0,False,1.4426987130480027,0.0,2.391673019162035,0.0
2710,1,-1.1920664242552965,-0.04290778202415057,1.192838395422884,True,-18.85414405307027,0,False,0.35442478954877354,0.022690293384656817,1.8386909952708868,0.0
2711,1,0.09431991154703445,-1.1672633136417632,1.1710678413688036,True,-18.941390870910006,0,False,1.4082434614481996,0.0,0.2878861219886215,0.03542524390344123
2712,1,1.3298449586540266,-0.13815283191501698,1.337001802176672,True,-19.543954274132567,2,True,2.412865841590894,0.0,1.3274435953241015,0.0
2713,1,0.17318967527719217,-1.32530339489942,1.3365716412353463,True,-19.0169859485705,1,True,1.5646168646335434,0.0,0.2660814850863349,0.21070121123592253
2714,1,1.228818341466675,-0.4957468586059386,1.3250507402143383,True,-19.289291842003806,1,True,2.3030740548277713,0.0,1.029269667840725,0.0
2715,1,0.9757737489637931,-0.5516001175505867,1.1208912074098345,True,-19.136998182911533,0,False,2.0544039935559466,0.0,0.7894561892748206,0.0
2716,1,-0.18340076164048633,-1.2428312556165784,1.256290320470468,True,-18.984797353245614,0,False,1.2401930494903617,0.0,0.5749281987060727,0.014303398250856395
2717,1,-0.9319159389397079,0.7292510035769353,1.1833318822155705,True,-19.121388175998845,0,False,1.1148371524284872,0.0,2.1856653670071817,0.0
2718,1,-0.7305293138303893,1.1028263702305117,1.3228375112769162,True,-19.377413692914708,0,False,1.5183863751946407,0.0,2.3999529070320786,0.0
2719,1,0.08728069070511724,-1.1530742205001199,1.1563728105381592,True,-18.935204573197606,0,False,1.3944753948250035,0.0,0.28980432632450553,0.01970260142931159
2720,1,-1.1902554747064766,0.05269338550456035,1.1914212890261247,True,-18.854368866363906,0,False,0.44574424053116046,0.0,1.8906634895214243,0.0
2721,1,-1.1913803835205552,0.18335690105200433,1.2054073881476668,True,-18.876803103526708,0,False,0.5729590881330672,0.0,1.9698242719644357,0.0
2722,1,-1.1776545309341966,0.055982583443020685,1.1789844120592932,True,-18.847038186487882,0,False,0.44573809625434496,0.0,1.8822950948376886,0.0
2723,1,0.21296512967345463,-1.3195202119675766,1.3365955769221256,True,-19.012910463499384,1,True,1.5930042245668028,0.0,0.22664751885228815,0.21847901840146555
