source_file,source_sheet,sensor,date_iso,source_column,edz_band_cm,edz_min_cm,edz_max_cm,taupe_value,quantity_note
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-10T09:00:00,MV EDZ 40-50,40-50,40,50,10.354034687282091,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-20T12:00:00,MV EDZ 0-50,0-50,0,50,10.200978567166551,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-20T12:00:00,MV EDZ 0-10,0-10,0,10,10.076536191930849,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-20T12:00:00,MV EDZ 10-20,10-20,10,20,10.138913942382814,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-20T12:00:00,MV EDZ 20-30,20-30,20,30,10.218601414296554,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-20T12:00:00,MV EDZ 30-40,30-40,30,40,10.236394958976305,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-20T12:00:00,MV EDZ 40-50,40-50,40,50,10.341563374265561,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-30T00:00:00,MV EDZ 0-50,0-50,0,50,10.201762131045228,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-30T00:00:00,MV EDZ 0-10,0-10,0,10,10.097234749459258,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-30T00:00:00,MV EDZ 10-20,10-20,10,20,10.143370537876098,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-30T00:00:00,MV EDZ 20-30,20-30,20,30,10.205694213560498,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-30T00:00:00,MV EDZ 30-40,30-40,30,40,10.223371649640045,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-30T00:00:00,MV EDZ 40-50,40-50,40,50,10.349609801757815,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-10T00:00:00,MV EDZ 0-50,0-50,0,50,10.196544346118754,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-10T00:00:00,MV EDZ 0-10,0-10,0,10,10.095405064025377,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-10T00:00:00,MV EDZ 10-20,10-20,10,20,10.149015513599238,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-10T00:00:00,MV EDZ 20-30,20-30,20,30,10.19407791913901,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-10T00:00:00,MV EDZ 30-40,30-40,30,40,10.218479251654507,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-10T00:00:00,MV EDZ 40-50,40-50,40,50,10.32993474726401,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-20T00:00:00,MV EDZ 0-50,0-50,0,50,10.203068773697693,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-20T00:00:00,MV EDZ 0-10,0-10,0,10,10.104802643635397,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-20T00:00:00,MV EDZ 10-20,10-20,10,20,10.154914204521244,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-20T00:00:00,MV EDZ 20-30,20-30,20,30,10.200119385112668,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-20T00:00:00,MV EDZ 30-40,30-40,30,40,10.221657935474237,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-20T00:00:00,MV EDZ 40-50,40-50,40,50,10.3374217410011,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-31T00:00:00,MV EDZ 0-50,0-50,0,50,10.199203659997433,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-31T00:00:00,MV EDZ 0-10,0-10,0,10,10.099753724601307,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-31T00:00:00,MV EDZ 10-20,10-20,10,20,10.148779958782608,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-31T00:00:00,MV EDZ 20-30,20-30,20,30,10.197700532452544,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-31T00:00:00,MV EDZ 30-40,30-40,30,40,10.216281615871967,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-05-31T00:00:00,MV EDZ 40-50,40-50,40,50,10.340009355283122,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-06-10T00:00:00,MV EDZ 0-50,0-50,0,50,10.212397466333936,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
