run_id,run_kind,run_dir,state_sample_rows,ogs_output_times,diagnostic_rows,compared_rows,compared_series,outside_time_tolerance_rows,operator_not_mapped_rows,taupe_trend_residual_mean,taupe_trend_mae,taupe_trend_rmse,taupe_trend_p50_abs,taupe_trend_p90_abs,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,taupe_mae_delta_from_reference,taupe_mae_rank,combined_objective_rank
production_sampler_round3_003_length_0p008m_shift_0p934,production_sampler_round,inversion_workflow/runs/production_sampler_round3_003_length_0p008m_shift_0p934,37184,83,5088,1860,12,684,2544,-0.4860486786448801,1.8638537845145453,2.3549134047452536,1.4715304318197424,4.064558095228129,3160.012660206409,2,271.96604510856247,2888.0466150978464,5.484871822319026,0.000642924139652834,50.0,50.0
production_sampler_round3_004_length_0p010m_shift_0p950,production_sampler_round,inversion_workflow/runs/production_sampler_round3_004_length_0p010m_shift_0p950,37184,83,5088,1860,12,684,2544,-0.4896426426342576,1.865036976653827,2.356186612711375,1.4681824974620168,4.078166283528191,3158.96214224312,2,271.035882236753,2887.926260006366,5.484757534148584,0.0018261162789345864,58.0,44.0
production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,production_sampler_round,inversion_workflow/runs/production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,37184,83,5088,1860,12,684,2544,-0.4839182704327362,1.863210860373616,2.3542705001397084,1.471316813332242,4.060254652229807,3156.3614696727627,2,269.8180571059851,2886.543412566777,5.483444223074636,-1.276534433714005e-12,26.0,17.0
production_sampler_round3_006_basis_014_det_l_0p0035_s_1p000,production_sampler_round,inversion_workflow/runs/production_sampler_round3_006_basis_014_det_l_0p0035_s_1p000,37184,83,5088,1860,12,684,2544,-0.4839182704428073,1.86321086038198,2.354270500150512,1.4713168133347554,4.060254652229467,3156.3614696725817,2,269.8180571059851,2886.5434125665965,5.483444223074463,7.087441744602074e-12,28.0,16.0
production_sampler_round4_001_length_0p029m_shift_0p954,production_sampler_round,inversion_workflow/runs/production_sampler_round4_001_length_0p029m_shift_0p954,37184,83,5088,1860,12,684,2544,-0.4657813511103805,1.8518972702176648,2.3373790372521106,1.460521742402035,4.038420700086414,3169.222932457921,2,272.10573144525995,2897.117201012661,5.4934783313684985,-0.01131359015722766,8.0,62.0
production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,production_sampler_round,inversion_workflow/runs/production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,37184,83,5088,1860,12,684,2544,-0.4839182704278338,1.8632108603701,2.3542705001343025,1.471316813333308,4.060254652229512,3156.361469672941,2,269.8180571059851,2886.543412566956,5.483444223074806,-4.792388708096951e-12,24.0,20.0
production_sampler_round4_003_length_0p006m_shift_0p977,production_sampler_round,inversion_workflow/runs/production_sampler_round4_003_length_0p006m_shift_0p977,37184,83,5088,1860,12,684,2544,-0.4846224593527354,1.8633376857617256,2.3543525329173205,1.4712109482890003,4.060244437671155,3157.026058912853,2,270.0727984904783,2886.9532604223746,5.483833494560753,0.00012682538683317368,38.0,35.0
production_sampler_round4_004_length_0p003m_shift_0p972,production_sampler_round,inversion_workflow/runs/production_sampler_round4_004_length_0p003m_shift_0p972,37184,83,5088,1860,12,684,2544,-0.4841882300079702,1.8633438195932013,2.35442214819871,1.4711682323183723,4.060925264017718,3156.764647985251,2,270.19285301913465,2886.5717949661166,5.483471181429124,0.00013295921830880353,39.0,30.0
production_sampler_round4_005_length_0p006m_shift_0p970,production_sampler_round,inversion_workflow/runs/production_sampler_round4_005_length_0p006m_shift_0p970,37184,83,5088,1860,12,684,2544,-0.4842117314170366,1.863355385055628,2.3544353395331483,1.4711554294711446,4.060992844591675,3156.834598911425,2,270.26027226962503,2886.5743266417994,5.483473586075291,0.00014452468073544722,40.0,33.0
production_sampler_round4_006_length_0p004m_shift_0p967,production_sampler_round,inversion_workflow/runs/production_sampler_round4_006_length_0p004m_shift_0p967,37184,83,5088,1860,12,684,2544,-0.4842445050280567,1.863371510857977,2.354453732433669,1.471137610482718,4.061086912058241,3156.9412683334226,2,270.36339469849605,2886.5778736349266,5.483476955092497,0.00016065048308444574,42.0,34.0
production_sampler_round5_001_length_0p009m_shift_0p933,production_sampler_round,inversion_workflow/runs/production_sampler_round5_001_length_0p009m_shift_0p933,37184,83,5088,1860,12,684,2544,-0.4878297213983055,1.864423334960399,2.355489619274105,1.4696080355178274,4.070647232017938,3159.915044111669,2,272.0253102166674,2887.889733895002,5.484722848793085,0.00121247458550644,53.0,49.0
production_sampler_round5_002_length_0p009m_shift_0p929,production_sampler_round,inversion_workflow/runs/production_sampler_round5_002_length_0p009m_shift_0p929,37184,83,5088,1860,12,684,2544,-0.4878838726412552,1.8644443356140408,2.355512448457309,1.4696593532879825,4.07076169275701,3160.191870096294,2,272.3062065685393,2887.885663527755,5.484718983540917,0.0012334752391482962,54.0,51.0
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,inversion_workflow/runs/production_sampler_round5_003_length_0p010m_shift_0p926,37184,83,5088,1860,12,684,2544,-0.4898290976503188,1.865136142757208,2.3563028281621627,1.4684881683950848,4.078550361723895,3160.4202326708323,2,272.4667094889542,2887.953523181878,5.484783423236621,0.0019252823823154852,59.0,52.0
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,inversion_workflow/runs/production_sampler_round5_004_length_0p009m_shift_0p913,37184,83,5088,1860,12,684,2544,-0.4875122738928476,1.8644564459733604,2.355564805001648,1.4712125737941024,4.0710455329587525,3161.7621112225206,2,273.4893359862264,2888.2727752362944,5.4850865756198175,0.0012455855984678799,55.0,54.0
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,inversion_workflow/runs/production_sampler_round5_005_length_0p004m_shift_1p031,37184,83,5088,1860,12,684,2544,-0.4836267271881189,1.8630670789564647,2.35410650128536,1.471449310202801,4.060268469281811,3156.785440082782,2,270.2712715334339,2886.514168549348,5.483416446193837,-0.0001437814184277464,14.0,32.0
production_sampler_round5_006_length_0p003m_shift_0p964,production_sampler_round,inversion_workflow/runs/production_sampler_round5_006_length_0p003m_shift_0p964,37184,83,5088,1860,12,684,2544,-0.4842737657040472,1.863385905405229,2.3544701508816903,1.4711217354206456,4.061170722478862,3157.045427945438,2,270.46437127304176,2886.581056672396,5.483479978414327,0.0001750450303366069,43.0,36.0
regularized_ogs_candidate_001_length_0p025m,regularized_ogs,inversion_workflow/runs/regularized_ogs_candidate_001_length_0p025m,37184,83,5088,1860,12,684,2544,-0.4677519091852457,1.8525878514054863,2.3385211817415708,1.4572673322993932,4.040774780563111,3166.611452441739,2,269.97395938140704,2896.637493060332,5.493023504353359,-0.010623008969406156,9.0,57.0
regularized_ogs_candidate_002_length_0p025m_shift_0p750,regularized_ogs,inversion_workflow/runs/regularized_ogs_candidate_002_length_0p025m_shift_0p750,37184,83,5088,1860,12,684,2544,-0.4767413930804388,1.856246237082688,2.343358363151511,1.45759848826392,4.053424007262608,3198.4872116155457,2,301.1610315167709,2897.326180098775,5.493676459593845,-0.006964623292204486,11.0,69.0
regularized_ogs_candidate_003_length_0p025m_shift_0p500,regularized_ogs,inversion_workflow/runs/regularized_ogs_candidate_003_length_0p025m_shift_0p500,37184,83,5088,1860,12,684,2544,-0.4884648658115559,1.8615981820429024,2.3501081446738854,1.4682188732513335,4.065690523410954,3289.6453640522564,2,392.7190805671872,2896.926283485069,5.493297320641718,-0.0016126783319900806,12.0,72.0
release_gate_smoke,other,inversion_workflow/runs/release_gate_smoke,0,0,5088,0,0,0,0,,,,,,269.97395938140704,1,269.97395938140704,,,,,2.0
