downloads_path,relative_path,filename,normalized_filename,size_bytes,sha1,catalogue_status,catalogue_sha1_match,matching_catalogue_paths
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1099_t_94953600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1099_t_94953600.000000.vtu,results_cd-a_03_01_ts_1099_t_94953600.000000.vtu,results_cd-a_03_01_ts_1099_t_94953600.000000.vtu,18212847,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1106_t_95558400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1106_t_95558400.000000.vtu,results_cd-a_03_01_ts_1106_t_95558400.000000.vtu,results_cd-a_03_01_ts_1106_t_95558400.000000.vtu,18215091,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1113_t_96163200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1113_t_96163200.000000.vtu,results_cd-a_03_01_ts_1113_t_96163200.000000.vtu,results_cd-a_03_01_ts_1113_t_96163200.000000.vtu,18217075,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1120_t_96768000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1120_t_96768000.000000.vtu,results_cd-a_03_01_ts_1120_t_96768000.000000.vtu,results_cd-a_03_01_ts_1120_t_96768000.000000.vtu,18218791,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1127_t_97372800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1127_t_97372800.000000.vtu,results_cd-a_03_01_ts_1127_t_97372800.000000.vtu,results_cd-a_03_01_ts_1127_t_97372800.000000.vtu,18220631,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1134_t_97977600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1134_t_97977600.000000.vtu,results_cd-a_03_01_ts_1134_t_97977600.000000.vtu,results_cd-a_03_01_ts_1134_t_97977600.000000.vtu,18222387,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1141_t_98582400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1141_t_98582400.000000.vtu,results_cd-a_03_01_ts_1141_t_98582400.000000.vtu,results_cd-a_03_01_ts_1141_t_98582400.000000.vtu,18222559,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1148_t_99187200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1148_t_99187200.000000.vtu,results_cd-a_03_01_ts_1148_t_99187200.000000.vtu,results_cd-a_03_01_ts_1148_t_99187200.000000.vtu,18222427,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1155_t_99792000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1155_t_99792000.000000.vtu,results_cd-a_03_01_ts_1155_t_99792000.000000.vtu,results_cd-a_03_01_ts_1155_t_99792000.000000.vtu,18223187,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1162_t_100396800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1162_t_100396800.000000.vtu,results_cd-a_03_01_ts_1162_t_100396800.000000.vtu,results_cd-a_03_01_ts_1162_t_100396800.000000.vtu,18220679,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1169_t_101001600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1169_t_101001600.000000.vtu,results_cd-a_03_01_ts_1169_t_101001600.000000.vtu,results_cd-a_03_01_ts_1169_t_101001600.000000.vtu,18219759,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1176_t_101606400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1176_t_101606400.000000.vtu,results_cd-a_03_01_ts_1176_t_101606400.000000.vtu,results_cd-a_03_01_ts_1176_t_101606400.000000.vtu,18217831,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1183_t_102211200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1183_t_102211200.000000.vtu,results_cd-a_03_01_ts_1183_t_102211200.000000.vtu,results_cd-a_03_01_ts_1183_t_102211200.000000.vtu,18215955,,downloads_relevant_name_candidate,,
