run_id,rank,cell_id,centroid_x_m,centroid_y_m,cell_area_m2,reference_log10_k_geom,candidate_log10_k_geom,delta_log10_k_geom,abs_delta_log10_k_geom,reference_log10_k_min,candidate_log10_k_min,reference_log10_k_max,candidate_log10_k_max,relative_tensor_frobenius
broad_continuous_001_003_length_0p021m,22,2869,-1.2216182747566633,-0.467185683655912,0.00032704553836184586,-18.96951747606853,-16.288470879823187,2.6810465962453414,2.6810465962453414,-19.168487480404547,-16.487440884159206,-18.77054747173251,-16.08950087548717,478.7849228727961
broad_continuous_001_003_length_0p021m,23,1861,-1.2103796507796132,-0.4428622186170867,0.00029993200949881877,-18.955636318994294,-16.274589722748953,2.6810465962453414,2.6810465962453414,-19.154606323330313,-16.47355972708497,-18.756666314658275,-16.075619718412934,478.78492287279613
broad_continuous_001_003_length_0p021m,24,1860,-1.2240103507571067,-0.449737280939478,0.000386708026815317,-18.965236339857274,-16.284189743611936,2.681046596245338,2.681046596245338,-19.164206344193293,-16.483159747947955,-18.766266335521255,-16.085219739275917,478.78492287279613
broad_continuous_001_003_length_0p021m,25,2394,-1.2875333828463666,-0.3671799303228427,0.0006100345325846585,-18.974632362265062,-16.293585766019724,2.681046596245338,2.681046596245338,-19.17360236660108,-16.492555770355743,-18.775662357929043,-16.094615761683706,478.78492287279624
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,1,8054,0.4611715508072723,-1.3725831219671065,0.0008311998032643676,-19.0452076622907,-19.06230174583853,-0.017094083547828376,0.017094083547828376,-19.24417766662672,-19.261271750174547,-18.84623765795468,-18.86333174150251,0.03859601828957519
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,2,7000,0.459176953254458,-1.4200119085870666,0.0010757659748641942,-19.076087677310873,-19.093181760858702,-0.017094083547828376,0.017094083547828376,-19.275057681646892,-19.29215176519472,-18.877117672974855,-18.894211756522683,0.03859601828957515
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,3,3653,0.501145937512898,-1.3934652152154232,0.0010095123815512484,-19.060096974501388,-19.077191058049216,-0.017094083547828376,0.017094083547828376,-19.259066978837406,-19.276161062385235,-18.86112697016537,-18.878221053713197,0.03859601828957518
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,4,9367,-1.3951766203460132,-0.4732588930173194,0.0009173220143932983,-19.056305390936163,-19.06490352548786,-0.008598134551697001,0.008598134551697001,-19.255275395272182,-19.26387352982388,-18.857335386600145,-18.86593352115184,0.019603244254026153
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,5,8050,-1.3502306155163233,-0.47498144674759435,0.0008254074346951323,-19.03650888420189,-19.045107018753583,-0.008598134551693448,0.008598134551693448,-19.23547888853791,-19.244077023089602,-18.83753887986587,-18.846137014417565,0.019603244254026177
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,6,8646,0.432472571982228,-1.3055941000961735,0.0007743764019991566,-19.002314764484307,-19.008376358851425,-0.006061594367118062,0.006061594367118062,-19.201284768820326,-19.207346363187444,-18.80334476014829,-18.809406354515406,0.013860384792046624
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,7,4102,0.46418095412838767,-1.32902598547155,0.0007481140367089668,-19.017482345303563,-19.02354393967068,-0.006061594367118062,0.006061594367118062,-19.21645234963958,-19.2225139440067,-18.818512340967544,-18.824573935334662,0.013860384792046617
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,8,7984,0.4296282078128377,-1.3491232530794868,0.0006471648340423775,-19.029462197765536,-19.035523792132654,-0.006061594367118062,0.006061594367118062,-19.228432202101555,-19.234493796468673,-18.830492193429517,-18.836553787796635,0.013860384792046657
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,9,6997,-1.4700463291888966,-0.46340266062054264,0.001203825113303999,-19.084464867338994,-19.084675921940335,-0.00021105460134052123,0.00021105460134052123,-19.283434871675013,-19.283645926276353,-18.885494863002975,-18.885705917604316,0.00048585311398732615
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,10,6996,-1.4200119180566733,-0.45917692488219797,0.0010757659766713443,-19.063452589677542,-19.063663644278883,-0.00021105460134052123,0.00021105460134052123,-19.26242259401356,-19.2626336486149,-18.864482585341523,-18.864693639942864,0.00048585311398732426
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,11,10223,1.1699344707590333,0.7203791514757413,0.0008045751147816468,-19.466878387945034,-19.466878387945034,0.0,0.0,-19.665848392281053,-19.665848392281053,-19.267908383609015,-19.267908383609015,0.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,12,10222,-0.724321229759299,1.2166220868631734,0.0010096134612130455,-19.441512563061234,-19.441512563061234,0.0,0.0,-19.640482567397253,-19.640482567397253,-19.242542558725216,-19.242542558725216,0.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,13,10221,-0.6972506530200185,1.16996121736325,0.000745068211958317,-19.41138495897453,-19.41138495897453,0.0,0.0,-19.61035496331055,-19.61035496331055,-19.212414954638508,-19.212414954638508,0.0
